EmployeeID,Age,AgeGroup,Gender,Department,JobRole,Salary,SalaryGroup,ExperienceYears,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,EmployeeSatisfaction,PerformanceRating,OverTime,DistanceFromHome,Attrition
E1017,43,41-50,Male,Sales,Analyst,72660,Medium Salary,20,5,1,3,3,3,No,11,No
E1018,49,41-50,Female,Finance,HR Specialist,119386,High Salary,26,2,3,5,4,5,Yes,14,Yes
E1019,57,51+,Male,HR,Manager,64786,Medium Salary,30,2,1,2,1,3,No,21,Yes
E1020,21,20-30,Female,HR,HR Specialist,16925,Low Salary,0,2,2,2,5,3,No,8,Yes
E1021,40,31-40,Male,IT,Sales Executive,98976,High Salary,16,1,2,4,1,2,No,3,No
E1022,52,51+,Female,IT,Executive,41015,Medium Salary,25,5,4,2,1,1,No,28,Yes
E1023,31,31-40,Female,Research & Development,Manager,48320,Medium Salary,7,2,5,3,2,3,No,29,No
E1024,41,41-50,Male,Finance,Engineer,79881,Medium Salary,14,4,2,3,2,4,No,23,Yes
E1025,44,41-50,Female,HR,Analyst,105827,High Salary,18,3,1,5,1,1,No,18,No
E1026,46,41-50,Female,IT,HR Specialist,117215,High Salary,25,3,1,5,3,4,Yes,35,No
E1027,47,41-50,Female,Finance,Manager,41289,Medium Salary,27,2,5,2,2,4,Yes,13,No
E1028,35,31-40,Female,IT,HR Specialist,18389,Low Salary,12,3,5,1,5,1,No,12,No
E1029,34,31-40,Female,IT,Manager,40683,Medium Salary,8,3,4,4,4,1,No,47,No
E1030,22,20-30,Female,HR,Sales Executive,28629,Low Salary,1,1,3,1,2,4,No,50,No
E1031,56,51+,Female,HR,Sales Executive,76550,Medium Salary,36,4,1,2,1,2,Yes,5,No
E1032,26,20-30,Female,IT,Sales Executive,39826,Low Salary,1,4,5,2,3,5,No,39,No
E1033,40,31-40,Male,Sales,HR Specialist,115734,High Salary,18,1,1,1,4,5,Yes,11,No
E1034,28,20-30,Male,IT,Engineer,41630,Medium Salary,4,1,5,4,2,2,No,11,No
E1035,58,51+,Female,IT,Sales Executive,113762,High Salary,33,3,2,1,3,1,Yes,47,No
E1036,37,31-40,Female,Research & Development,Manager,61163,Medium Salary,10,5,1,5,3,4,No,42,No
E1037,23,20-30,Male,Research & Development,Sales Executive,113511,High Salary,3,3,2,3,3,5,Yes,47,No
E1038,44,41-50,Male,Research & Development,Executive,81435,High Salary,19,1,1,5,1,4,No,31,No
E1039,33,31-40,Male,Sales,Sales Executive,26653,Low Salary,11,4,3,3,5,2,No,31,No
E1040,28,20-30,Female,Sales,HR Specialist,42961,Medium Salary,2,3,4,2,3,4,No,13,Yes
E1041,45,41-50,Male,IT,Engineer,96941,High Salary,25,5,2,4,4,2,No,14,No
E1042,21,20-30,Female,Research & Development,Executive,89137,High Salary,0,3,5,1,2,1,No,49,No
E1043,39,31-40,Female,Sales,HR Specialist,48662,Medium Salary,15,2,3,4,4,2,No,45,No
E1044,47,41-50,Male,HR,HR Specialist,113818,High Salary,23,3,1,1,1,2,No,42,Yes
E1045,26,20-30,Female,IT,HR Specialist,71446,Medium Salary,5,1,2,5,1,5,Yes,25,No
E1046,27,20-30,Female,Finance,Manager,36288,Low Salary,2,4,1,5,4,4,No,33,No
E1047,54,51+,Female,IT,HR Specialist,110081,High Salary,31,4,1,1,5,5,No,33,Yes
E1048,33,31-40,Female,Finance,Manager,51877,Medium Salary,8,1,1,4,1,3,Yes,15,No
E1049,36,31-40,Male,Research & Development,HR Specialist,30313,Low Salary,10,2,4,1,1,2,Yes,16,No
E1050,55,51+,Male,Finance,Analyst,95885,High Salary,35,1,4,2,4,3,No,44,No
E1051,59,51+,Female,Research & Development,Executive,87715,High Salary,39,3,5,5,1,5,Yes,38,Yes
E1052,23,20-30,Female,HR,Analyst,25326,Low Salary,0,1,2,2,5,4,No,6,Yes
E1053,21,20-30,Male,Finance,HR Specialist,16560,Low Salary,0,1,3,5,5,5,Yes,44,No
E1054,25,20-30,Female,IT,Executive,94148,High Salary,0,2,3,5,5,4,No,25,No
E1055,23,20-30,Male,Research & Development,Executive,98186,High Salary,1,3,3,3,2,4,No,15,No
E1056,48,41-50,Female,IT,Engineer,41745,Medium Salary,21,5,1,2,5,1,No,4,Yes
E1057,37,31-40,Female,Sales,Analyst,46890,Medium Salary,11,5,4,2,5,2,No,4,Yes
E1058,45,41-50,Male,Research & Development,Engineer,35022,Low Salary,21,4,2,3,2,5,No,30,No
E1059,53,51+,Male,Finance,Executive,67579,Medium Salary,27,1,1,4,3,4,No,34,No
E1060,29,20-30,Male,Research & Development,Manager,85316,High Salary,9,4,4,2,1,5,Yes,27,No
E1061,55,51+,Male,IT,Executive,98847,High Salary,31,2,4,1,5,5,Yes,31,No
E1062,33,31-40,Female,HR,Engineer,43380,Medium Salary,13,5,2,3,1,4,Yes,32,Yes
E1063,50,41-50,Male,Research & Development,Analyst,17356,Low Salary,29,1,2,2,4,3,No,44,No
E1064,34,31-40,Female,Finance,HR Specialist,85326,High Salary,11,2,2,4,1,2,Yes,39,No
E1065,27,20-30,Male,Sales,HR Specialist,107447,High Salary,7,2,1,2,2,2,Yes,9,No
E1066,33,31-40,Male,HR,Analyst,104899,High Salary,9,1,5,5,1,1,No,41,No
E1067,42,41-50,Female,Sales,HR Specialist,35049,Low Salary,21,2,2,1,1,1,No,8,No
E1068,59,51+,Male,Research & Development,HR Specialist,90717,High Salary,39,1,5,3,1,1,No,14,No
E1069,40,31-40,Male,IT,Engineer,31082,Low Salary,18,1,1,5,3,2,Yes,33,No
E1070,35,31-40,Male,IT,Analyst,15661,Low Salary,9,3,5,4,3,3,Yes,23,No
E1071,37,31-40,Male,Finance,Sales Executive,52412,Medium Salary,14,4,3,5,4,2,No,21,No
E1072,43,41-50,Female,IT,Manager,17920,Low Salary,23,2,5,5,2,2,Yes,12,No
E1073,45,41-50,Female,HR,Manager,106194,High Salary,24,2,2,4,1,2,No,2,No
E1074,44,41-50,Male,IT,HR Specialist,75315,Medium Salary,22,3,1,5,1,2,No,13,No
E1075,60,51+,Male,Finance,Manager,94561,High Salary,35,3,2,3,1,3,No,4,No
E1076,48,41-50,Male,Research & Development,Analyst,23946,Low Salary,27,3,3,2,1,1,Yes,20,No
E1077,34,31-40,Female,Research & Development,Analyst,109242,High Salary,8,5,2,5,3,5,No,50,No
E1078,20,20-30,Female,IT,Executive,60500,Medium Salary,0,5,2,3,4,1,No,48,Yes
E1079,44,41-50,Female,Sales,Executive,119540,High Salary,22,5,2,2,5,1,No,14,No
E1080,26,20-30,Female,Research & Development,Manager,31309,Low Salary,5,1,4,2,2,5,Yes,30,No
E1081,28,20-30,Male,IT,Sales Executive,70230,Medium Salary,6,2,3,5,1,2,Yes,29,No
E1082,43,41-50,Male,Finance,Executive,113656,High Salary,23,4,2,3,4,3,Yes,8,No
E1083,20,20-30,Male,IT,Executive,45027,Medium Salary,0,1,2,5,5,3,No,12,No
E1084,27,20-30,Female,Research & Development,Analyst,87541,High Salary,5,2,2,4,4,1,No,41,Yes
E1085,43,41-50,Male,Finance,Sales Executive,74321,Medium Salary,21,2,1,2,3,5,No,38,No
E1086,30,20-30,Female,IT,HR Specialist,15956,Low Salary,7,3,4,5,5,4,No,26,No
E1087,36,31-40,Female,HR,Manager,115375,High Salary,14,3,1,2,4,2,No,50,No
E1088,27,20-30,Male,Finance,Executive,89131,High Salary,5,1,4,3,3,1,No,2,No
E1089,54,51+,Male,HR,Sales Executive,62908,Medium Salary,29,3,2,1,4,3,No,40,Yes
E1090,54,51+,Male,Sales,Sales Executive,93339,High Salary,27,2,3,5,4,5,Yes,14,No
E1091,52,51+,Female,Finance,Manager,40963,Medium Salary,32,3,5,5,5,5,No,6,Yes
E1092,24,20-30,Female,HR,Sales Executive,116757,High Salary,0,5,5,2,3,1,Yes,42,No
E1093,58,51+,Male,Research & Development,Sales Executive,54443,Medium Salary,35,3,2,3,1,4,No,40,No
E1094,60,51+,Male,Research & Development,Sales Executive,114259,High Salary,35,2,1,4,2,3,No,31,No
E1095,47,41-50,Female,Sales,Executive,54063,Medium Salary,23,1,3,3,5,1,No,17,Yes
E1096,26,20-30,Male,Finance,Manager,95818,High Salary,0,4,4,5,3,4,Yes,25,Yes
E1097,28,20-30,Female,Finance,Sales Executive,19703,Low Salary,8,3,2,4,4,5,No,32,No
E1098,27,20-30,Female,Finance,Sales Executive,80128,High Salary,7,2,3,3,3,2,Yes,12,Yes
E1099,31,31-40,Male,Sales,Executive,87099,High Salary,7,4,3,1,2,3,No,49,No
E1100,53,51+,Male,Finance,Manager,40849,Medium Salary,27,4,4,2,2,3,Yes,13,No
E1101,52,51+,Male,Research & Development,Analyst,46860,Medium Salary,30,5,3,3,1,4,No,19,No
E1102,42,41-50,Male,HR,Executive,46585,Medium Salary,17,4,1,3,1,1,No,44,No
E1103,43,41-50,Female,Research & Development,Manager,37015,Low Salary,22,2,1,1,2,5,No,48,No
E1104,56,51+,Female,Research & Development,Sales Executive,92539,High Salary,33,2,1,5,5,4,No,25,No
E1105,54,51+,Female,HR,Manager,58585,Medium Salary,33,3,3,2,5,2,Yes,31,No
E1106,59,51+,Male,Research & Development,Manager,41958,Medium Salary,35,3,1,3,4,2,Yes,37,No
E1107,41,41-50,Female,Sales,HR Specialist,41017,Medium Salary,21,3,4,4,1,2,No,25,Yes
E1108,46,41-50,Male,HR,Manager,91707,High Salary,20,4,3,3,4,4,Yes,16,No
E1109,54,51+,Male,Research & Development,Analyst,60350,Medium Salary,34,4,5,2,1,5,Yes,38,Yes
E1110,20,20-30,Male,IT,Manager,27201,Low Salary,0,5,3,3,2,3,No,43,Yes
E1111,54,51+,Male,Research & Development,Analyst,44426,Medium Salary,34,3,4,1,5,1,No,49,Yes
E1112,56,51+,Male,Sales,Sales Executive,32778,Low Salary,36,1,5,3,5,3,Yes,23,No
E1113,33,31-40,Male,Finance,Analyst,60241,Medium Salary,10,5,3,3,2,5,Yes,14,No
E1114,22,20-30,Female,Research & Development,Sales Executive,57229,Medium Salary,0,1,1,4,4,3,Yes,6,No
E1115,20,20-30,Male,Finance,Sales Executive,101652,High Salary,0,4,2,1,4,4,No,25,No
E1116,24,20-30,Female,IT,Analyst,63364,Medium Salary,1,5,2,1,3,2,No,23,No
E1117,45,41-50,Female,Research & Development,Executive,113833,High Salary,19,5,1,3,1,5,No,43,No
E1118,33,31-40,Male,HR,Engineer,99878,High Salary,9,2,2,4,4,5,No,12,No
E1119,58,51+,Male,Finance,Manager,72056,Medium Salary,31,4,2,3,2,3,Yes,13,Yes
E1120,46,41-50,Male,IT,HR Specialist,42490,Medium Salary,26,4,1,3,4,4,No,36,No
E1121,28,20-30,Female,HR,Engineer,34975,Low Salary,2,5,1,2,5,3,No,39,Yes
E1122,34,31-40,Male,HR,Manager,41723,Medium Salary,14,4,3,2,1,3,Yes,34,No
E1123,34,31-40,Female,HR,Manager,38279,Low Salary,7,5,3,4,3,5,No,6,No
E1124,45,41-50,Male,HR,Sales Executive,93301,High Salary,21,2,1,5,1,3,No,38,No
E1125,32,31-40,Male,Research & Development,Manager,26561,Low Salary,7,5,4,2,5,2,No,50,No
E1126,51,51+,Female,Research & Development,HR Specialist,81061,High Salary,25,4,2,5,5,3,No,40,No
E1127,58,51+,Female,Research & Development,Manager,103397,High Salary,36,4,3,1,5,2,Yes,8,No
E1128,51,51+,Male,IT,Analyst,64153,Medium Salary,29,5,2,2,5,5,Yes,8,No
E1129,23,20-30,Female,IT,Engineer,48142,Medium Salary,0,5,5,2,2,4,No,40,No
E1130,49,41-50,Female,IT,Analyst,41916,Medium Salary,27,5,1,4,3,2,Yes,33,Yes
E1131,56,51+,Female,Sales,HR Specialist,79324,Medium Salary,31,3,4,5,5,4,No,34,No
E1132,42,41-50,Female,IT,Manager,59965,Medium Salary,15,4,5,2,5,4,No,44,No
E1133,58,51+,Female,Research & Development,HR Specialist,19648,Low Salary,33,4,5,2,4,2,No,15,No
E1134,34,31-40,Male,Research & Development,Sales Executive,50133,Medium Salary,10,3,5,4,3,5,No,36,No
E1135,48,41-50,Male,Sales,Analyst,65677,Medium Salary,28,5,1,4,1,1,No,35,No
E1136,55,51+,Female,Sales,Analyst,111059,High Salary,31,2,3,5,3,4,No,46,No
E1137,32,31-40,Male,IT,Executive,109588,High Salary,8,5,1,1,3,4,No,22,No
E1138,51,51+,Male,Finance,Manager,114950,High Salary,26,5,3,1,3,5,Yes,23,No
E1139,26,20-30,Female,Sales,Sales Executive,113317,High Salary,0,3,5,3,5,5,Yes,40,No
E1140,41,41-50,Male,HR,Analyst,85135,High Salary,14,4,5,2,5,3,Yes,45,No
E1141,47,41-50,Female,Research & Development,Analyst,50046,Medium Salary,25,5,4,5,2,5,Yes,22,No
E1142,21,20-30,Female,HR,Sales Executive,62064,Medium Salary,0,4,3,2,1,4,Yes,5,No
E1143,25,20-30,Male,Research & Development,HR Specialist,116459,High Salary,5,1,5,5,4,2,Yes,31,No
E1144,47,41-50,Female,Research & Development,HR Specialist,84350,High Salary,22,4,2,5,3,1,No,13,No
E1145,47,41-50,Female,Sales,Manager,60893,Medium Salary,25,2,4,5,1,3,No,28,No
E1146,39,31-40,Female,Sales,Executive,116520,High Salary,13,2,1,2,1,2,Yes,20,No
E1147,49,41-50,Female,HR,Analyst,76272,Medium Salary,28,5,4,4,2,1,No,33,No
E1148,30,20-30,Female,Research & Development,Executive,107152,High Salary,9,4,2,2,4,1,No,16,No
E1149,47,41-50,Male,HR,HR Specialist,82649,High Salary,22,5,3,5,3,1,Yes,29,No
E1150,44,41-50,Male,Finance,HR Specialist,79674,Medium Salary,21,3,1,3,4,2,No,23,No
E1151,58,51+,Female,HR,Engineer,28760,Low Salary,38,2,1,1,2,3,No,24,No
E1152,52,51+,Female,IT,Manager,36927,Low Salary,31,5,3,5,5,3,No,34,No
E1153,20,20-30,Male,HR,Engineer,101475,High Salary,0,3,4,3,1,1,No,7,Yes
E1154,46,41-50,Female,IT,Engineer,76367,Medium Salary,21,5,5,4,3,2,Yes,38,No
E1155,32,31-40,Male,IT,Engineer,112955,High Salary,10,4,4,5,5,1,No,37,Yes
E1156,60,51+,Female,IT,Manager,27588,Low Salary,34,4,2,3,2,5,Yes,4,No
E1157,22,20-30,Female,Finance,Manager,116678,High Salary,0,4,5,5,4,3,No,34,Yes
E1158,58,51+,Female,HR,Sales Executive,119734,High Salary,38,4,4,2,1,4,No,42,No
E1159,25,20-30,Female,HR,Executive,67233,Medium Salary,0,1,3,3,3,1,No,22,No
E1160,27,20-30,Female,Finance,Executive,59738,Medium Salary,3,3,2,2,5,5,Yes,5,No
E1161,46,41-50,Female,Research & Development,Sales Executive,48397,Medium Salary,20,3,2,2,5,3,No,50,No
E1162,28,20-30,Female,Sales,Sales Executive,97189,High Salary,2,4,2,3,1,2,No,42,No
E1163,56,51+,Male,HR,HR Specialist,91367,High Salary,34,1,5,1,4,3,No,23,No
E1164,52,51+,Male,Sales,Engineer,86260,High Salary,25,4,1,3,2,2,No,15,No
E1165,43,41-50,Male,Finance,Sales Executive,91619,High Salary,22,1,5,1,4,2,No,31,No
E1166,34,31-40,Female,Research & Development,Analyst,34816,Low Salary,13,4,4,5,4,1,No,9,No
E1167,51,51+,Female,Research & Development,Executive,57240,Medium Salary,29,2,1,5,4,1,No,43,No
E1168,51,51+,Female,Research & Development,Sales Executive,21276,Low Salary,26,2,4,3,1,3,No,25,No
E1169,43,41-50,Female,Finance,Analyst,119199,High Salary,22,5,1,5,1,5,No,25,No
E1170,60,51+,Female,IT,Analyst,94530,High Salary,37,4,5,4,2,3,No,49,No
E1171,31,31-40,Female,IT,Analyst,38499,Low Salary,11,3,2,2,4,4,Yes,21,No
E1172,58,51+,Female,Sales,HR Specialist,103576,High Salary,32,5,3,2,1,2,No,9,No
E1173,21,20-30,Male,IT,HR Specialist,97495,High Salary,0,2,2,1,2,2,No,48,No
E1174,22,20-30,Female,IT,Analyst,86635,High Salary,0,4,5,5,2,1,Yes,38,No
E1175,56,51+,Male,Research & Development,HR Specialist,100112,High Salary,29,5,1,1,4,5,No,22,No
E1176,36,31-40,Male,Research & Development,Engineer,50946,Medium Salary,15,4,2,2,3,1,No,43,No
E1177,21,20-30,Female,Sales,Analyst,70204,Medium Salary,0,2,5,2,4,4,No,23,Yes
E1178,21,20-30,Female,HR,Engineer,66886,Medium Salary,0,5,4,5,3,3,No,49,Yes
E1179,47,41-50,Male,Sales,Engineer,86652,High Salary,20,2,3,4,2,3,Yes,4,No
E1180,42,41-50,Male,Sales,Analyst,30563,Low Salary,22,1,2,4,1,5,Yes,29,No
E1181,56,51+,Female,Finance,Executive,107324,High Salary,36,2,1,5,5,1,No,15,No
E1182,51,51+,Female,Finance,Analyst,107464,High Salary,25,4,4,5,2,1,Yes,1,No
E1183,52,51+,Male,Sales,Analyst,116872,High Salary,30,3,5,1,1,4,Yes,30,No
E1184,20,20-30,Female,Sales,HR Specialist,24847,Low Salary,0,2,3,5,2,3,No,29,No
E1185,38,31-40,Female,Sales,Analyst,41155,Medium Salary,12,3,1,4,4,1,Yes,20,No
E1186,21,20-30,Female,IT,Executive,94671,High Salary,0,1,5,5,3,5,No,33,No
E1187,45,41-50,Male,Finance,HR Specialist,98310,High Salary,19,5,5,1,2,3,No,41,No
E1188,51,51+,Male,Sales,Manager,82278,High Salary,27,5,2,1,1,4,Yes,44,Yes
E1189,25,20-30,Male,Research & Development,Manager,33309,Low Salary,0,3,2,1,4,5,Yes,36,No
E1190,51,51+,Female,Research & Development,Engineer,15619,Low Salary,26,5,1,1,5,2,No,22,No
E1191,23,20-30,Female,IT,Engineer,98194,High Salary,3,2,5,3,4,4,No,13,No
E1192,30,20-30,Male,IT,Executive,65108,Medium Salary,4,3,2,5,3,5,Yes,7,No
E1193,36,31-40,Male,HR,Sales Executive,49707,Medium Salary,12,4,3,2,4,1,No,8,No
E1194,57,51+,Male,HR,Manager,35337,Low Salary,35,2,3,5,5,2,Yes,28,Yes
E1195,43,41-50,Female,HR,Engineer,96537,High Salary,21,2,5,3,1,4,No,45,No
E1196,24,20-30,Male,IT,Manager,81504,High Salary,4,2,2,1,2,1,Yes,43,Yes
E1197,53,51+,Male,IT,Executive,62614,Medium Salary,30,4,1,3,3,2,Yes,9,No
E1198,25,20-30,Female,IT,Executive,106428,High Salary,0,1,1,4,5,3,Yes,25,No
E1199,41,41-50,Female,Research & Development,Sales Executive,106155,High Salary,14,5,1,4,3,1,No,16,No
E1200,30,20-30,Female,IT,Sales Executive,15281,Low Salary,9,3,3,5,4,5,No,10,No
E1201,35,31-40,Male,Research & Development,HR Specialist,42420,Medium Salary,13,1,2,5,3,4,No,11,Yes
E1202,52,51+,Female,HR,Executive,95896,High Salary,25,3,2,2,5,2,No,31,No
E1203,28,20-30,Female,HR,Engineer,54030,Medium Salary,1,5,3,2,2,1,Yes,12,Yes
E1204,25,20-30,Male,HR,Manager,16058,Low Salary,0,4,1,4,2,3,Yes,31,No
E1205,35,31-40,Female,Sales,Analyst,101213,High Salary,8,2,1,1,3,4,No,14,No
E1206,48,41-50,Male,Sales,Sales Executive,91260,High Salary,21,2,5,3,1,4,No,44,No
E1207,22,20-30,Male,Finance,Analyst,43404,Medium Salary,0,4,4,2,3,1,No,32,No
E1208,39,31-40,Female,Finance,Engineer,118482,High Salary,17,1,2,2,4,3,Yes,50,No
E1209,55,51+,Female,Finance,Sales Executive,44856,Medium Salary,28,1,2,1,2,2,No,17,No
E1210,38,31-40,Female,Sales,Analyst,24200,Low Salary,15,3,2,1,2,1,Yes,35,Yes
E1211,45,41-50,Female,Sales,Engineer,79178,Medium Salary,22,4,4,5,2,2,No,1,No
E1212,22,20-30,Female,Finance,Manager,48997,Medium Salary,0,1,5,3,1,4,Yes,29,No
E1213,38,31-40,Female,Finance,Engineer,40611,Medium Salary,13,4,4,1,1,2,No,4,Yes
E1214,39,31-40,Male,IT,HR Specialist,56235,Medium Salary,15,5,1,2,5,3,Yes,23,No
E1215,51,51+,Male,Finance,Sales Executive,50057,Medium Salary,26,2,1,2,3,5,No,28,No
E1216,26,20-30,Female,IT,Executive,16239,Low Salary,0,2,2,4,3,3,No,16,No
E1217,60,51+,Male,Research & Development,Manager,118674,High Salary,34,2,3,1,4,2,No,12,No
E1218,52,51+,Female,Sales,Analyst,80661,High Salary,25,4,2,5,2,1,No,21,No
E1219,59,51+,Male,Finance,Sales Executive,60272,Medium Salary,38,4,3,3,1,4,No,45,No
E1220,58,51+,Male,Sales,Executive,104393,High Salary,32,3,4,5,4,5,No,17,No
E1221,37,31-40,Male,Sales,Engineer,76212,Medium Salary,16,2,1,2,4,1,No,40,No
E1222,59,51+,Female,Sales,Executive,30398,Low Salary,33,3,3,5,1,1,Yes,13,Yes
E1223,20,20-30,Male,Research & Development,Sales Executive,71503,Medium Salary,0,2,4,2,3,3,No,32,No
E1224,30,20-30,Female,HR,Sales Executive,21638,Low Salary,4,3,1,2,2,2,No,37,No
E1225,47,41-50,Male,Finance,HR Specialist,21570,Low Salary,23,3,3,2,3,3,No,50,No
E1226,44,41-50,Male,HR,HR Specialist,83785,High Salary,22,5,2,2,4,2,No,15,Yes
E1227,42,41-50,Male,HR,Executive,24110,Low Salary,15,3,2,2,2,3,Yes,12,No
E1228,50,41-50,Male,HR,Engineer,94141,High Salary,26,4,2,4,5,1,Yes,49,Yes
E1229,49,41-50,Male,Sales,Executive,27115,Low Salary,27,3,4,5,4,4,Yes,15,No
E1230,54,51+,Female,IT,Sales Executive,54062,Medium Salary,31,2,2,4,3,2,Yes,34,Yes
E1231,26,20-30,Female,Sales,Sales Executive,37911,Low Salary,2,3,5,4,3,5,No,6,No
E1232,35,31-40,Male,Sales,Analyst,119061,High Salary,12,1,1,1,3,5,No,17,No
E1233,45,41-50,Male,HR,HR Specialist,47556,Medium Salary,24,2,4,1,1,1,No,48,Yes
E1234,21,20-30,Male,Sales,Analyst,93131,High Salary,0,1,2,1,4,3,No,49,No
E1235,20,20-30,Male,HR,Manager,16969,Low Salary,0,2,1,3,2,3,Yes,20,No
E1236,31,31-40,Female,IT,Sales Executive,58753,Medium Salary,5,4,3,1,3,1,No,9,No
E1237,24,20-30,Male,Finance,Analyst,97811,High Salary,0,4,2,5,3,5,No,5,Yes
E1238,56,51+,Female,HR,Executive,19470,Low Salary,33,4,1,4,1,5,No,23,No
E1239,51,51+,Male,IT,HR Specialist,25225,Low Salary,29,1,5,5,2,3,No,33,No
E1240,28,20-30,Female,Finance,HR Specialist,38196,Low Salary,7,5,3,1,4,2,No,38,No
E1241,60,51+,Male,Research & Development,Engineer,28669,Low Salary,34,2,5,3,5,4,No,14,Yes
E1242,54,51+,Male,HR,Executive,52380,Medium Salary,33,4,1,3,1,2,No,17,No
E1243,38,31-40,Female,HR,Engineer,63320,Medium Salary,16,2,5,4,4,5,Yes,19,No
E1244,35,31-40,Male,Research & Development,Analyst,62414,Medium Salary,9,1,1,5,5,2,Yes,33,No
E1245,22,20-30,Male,Research & Development,Manager,118542,High Salary,0,5,1,2,3,4,No,1,No
E1246,39,31-40,Male,HR,Executive,30577,Low Salary,16,1,5,5,3,2,No,13,No
E1247,43,41-50,Female,Research & Development,Executive,103009,High Salary,20,2,1,1,2,2,No,46,No
E1248,52,51+,Male,Sales,Executive,70409,Medium Salary,28,5,2,2,5,2,No,27,No
E1249,43,41-50,Male,Finance,Engineer,43625,Medium Salary,19,5,1,3,3,2,No,6,No
E1250,30,20-30,Female,Finance,Analyst,96040,High Salary,5,1,4,4,3,1,Yes,6,No
E1251,27,20-30,Female,Finance,Executive,39089,Low Salary,0,4,1,4,2,5,No,33,No
E1252,55,51+,Female,Sales,Executive,51487,Medium Salary,30,2,4,3,4,4,No,30,No
E1253,57,51+,Male,Research & Development,HR Specialist,80838,High Salary,37,3,1,1,3,5,Yes,46,No
E1254,59,51+,Male,IT,Manager,111999,High Salary,38,3,1,3,1,1,No,35,No
E1255,39,31-40,Male,Research & Development,HR Specialist,109795,High Salary,15,1,5,1,1,1,No,23,No
E1256,54,51+,Female,HR,HR Specialist,65138,Medium Salary,31,2,2,2,4,1,No,10,No
E1257,44,41-50,Male,Finance,Manager,57823,Medium Salary,22,2,2,3,5,1,No,19,No
E1258,54,51+,Male,Research & Development,Analyst,52208,Medium Salary,31,1,3,1,2,2,Yes,28,No
E1259,44,41-50,Female,IT,HR Specialist,69061,Medium Salary,23,2,5,2,1,5,No,23,No
E1260,48,41-50,Female,HR,Analyst,45659,Medium Salary,23,4,5,3,1,3,No,4,No
E1261,37,31-40,Female,Sales,HR Specialist,116376,High Salary,14,1,2,4,4,4,No,20,No
E1262,37,31-40,Female,Sales,Sales Executive,46890,Medium Salary,10,4,5,3,5,1,Yes,19,No
E1263,21,20-30,Female,IT,Manager,94134,High Salary,1,2,2,5,5,5,No,42,No
E1264,54,51+,Male,HR,HR Specialist,62055,Medium Salary,33,1,5,3,4,1,Yes,27,No
E1265,35,31-40,Female,Finance,Sales Executive,34508,Low Salary,10,2,1,5,1,1,Yes,34,No
E1266,60,51+,Male,Research & Development,Engineer,57287,Medium Salary,33,1,2,2,2,1,No,4,No
E1267,55,51+,Male,HR,Sales Executive,93916,High Salary,33,2,2,3,1,1,Yes,38,No
E1268,52,51+,Female,Sales,Executive,41984,Medium Salary,27,4,4,2,5,1,No,7,No
E1269,23,20-30,Female,IT,HR Specialist,23125,Low Salary,0,4,5,2,1,4,Yes,48,Yes
E1270,52,51+,Female,IT,Sales Executive,51059,Medium Salary,25,2,5,1,2,5,No,7,Yes
E1271,33,31-40,Male,Research & Development,Analyst,84569,High Salary,6,1,2,2,3,1,Yes,50,No
E1272,40,31-40,Female,IT,Engineer,118409,High Salary,20,3,1,2,1,1,Yes,26,No
